,Property description,Property type,Property Area,Number of Beds ,Number of Baths ,Property price,Property location
146,Luxury Fully Finished Apartment for Sale in Village West – Ideal for Your Next Home!,Apartment,149.0,3.0,3.0,9000000.0,"Village West Compound, Sheikh Zayed, Giza"
147,Fully Finished Apartment 130m With Down Payment 5%,Apartment,130.0,3.0,3.0,14400000.0,"Hyde Park New Cairo Compound, New Cairo, Cairo"
148,Apartment 163m New Cairo Ready to move DP 4% installments 100 months,Apartment,163.0,3.0,3.0,9915000.0,"Rock Vera Compound, New Cairo, Cairo"
149,0 downpayment installment over 6 years apartment ready to move for sale in shrouk city,Apartment,181.0,3.0,3.0,13000000.0,"Al Burouj, Shorouk City, Cairo"
150,Stunning 3Bedroom Apartment for Sale in Village West Ideal Investment Opportunity,Apartment,154.0,3.0,3.0,9722475.0,"Village West Compound, Sheikh Zayed, Giza"
151,"For sale in Hyde Park, Fifth Settlement, a distinctive apartment with a landscape view, 160 square meters, 3 rooms, hotel finishing, installments",Apartment,160.0,3.0,3.0,15000000.0,"Hyde Park New Cairo Compound, New Cairo, Cairo"
152,"Apartment for sale, distinctive, in South Academy, 230 meters - Fifth Settlement - Ultra Super Lux finishing",Apartment,230.0,3.0,3.0,10500000.0,"South of Academy, New Cairo, Cairo"
153,"Apartment for sale, a bargain in Banfsaj 4, Fifth Settlement, 220 square meters, super deluxe finishing",Apartment,220.0,3.0,3.0,8600000.0,"El Banafseg 4, New Cairo, Cairo"
154,"""Unbeatable price for 5 days only! Ground floor with a garden, offering a huge discount for easy sale in Gold Square, Galleria Compound, New Cairo, ac",Apartment,157.0,3.0,3.0,5405000.0,"Galleria Moon Valley Compound, New Cairo, Cairo"
155,Apartment 151m ready to move 10% dp 7 years installment,Apartment,151.0,3.0,3.0,6984000.0,"Downtown Cairo, Cairo"
156,"3-BRs Apt in a very prime location, mins from AUC with a huge discount",Apartment,177.0,3.0,3.0,7698000.0,"Garnet Compound, New Cairo, Cairo"
157,Fully finished villa in the best compound in New Cairo at the best price and the longest payment period!,Villa,392.0,6.0,6.0,67200000.0,"Sodic East, New Heliopolis, Cairo"
158,"Palace for Sale in Madinaty, Directly on the Golf, 6 Bedrooms, 1700 sqm",Villa,660.0,6.0,6.0,85000000.0,"Madinaty, Cairo"
159,"For sale, a detached villa, immediate delivery, fully finished, in Hyde Park Compound, New Cairo",Villa,370.0,6.0,6.0,80000000.0,"Hyde Park New Cairo Compound, New Cairo, Cairo"
160,Standalone in Naia West - New Zayed - 385m,Villa,385.0,6.0,6.0,39804000.0,"Naia West Compound, Sheikh Zayed, Giza"
161,Detached villa for sale from Palm Hills Company in October,Villa,500.0,6.0,6.0,45000000.0,"6th of October, Giza"
162,"Own your villa in the most prestigious area of New Cairo - First Settlement, Golden Heights Compound, in front of Gate 9 Rehab, and next to Waterway.",Villa,696.0,6.0,6.0,45760000.0,"Golden Heights 2 Compound, New Cairo, Cairo"
163,"Villa for Sale in Madinaty, Model B, golf and lakes view, possibility for pool, Area (1000)",Villa,660.0,6.0,6.0,150000000.0,"Madinaty, Cairo"
164,Ivilla roof middle for sale in mountain view Hyde park,Villa,300.0,6.0,6.0,13000000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
165,"Villa for sale Semi-finished in Madinaty, Model C",Villa,550.0,6.0,6.0,60000000.0,"Madinaty, Cairo"
166,"The last villa in Hyde Park Settlement, immediate receipt and installments",Villa,327.0,6.0,6.0,79500000.0,"Hyde Park New Cairo Compound, New Cairo, Cairo"
167,Villa Ready to Move Prime Location Resale Overlooking Landscape Palm Hills New Cairo,Villa,385.0,6.0,6.0,36000000.0,"Palm Hills New Cairo Compound, New Cairo, Cairo"
168,"Villa for Sale in Madinaty, Model B • Prime Location golf course and lakes, 1000sq",Villa,631.0,6.0,6.0,75000000.0,"Madinaty, Cairo"
169,Standalone for sale ready to move semi Finished in Les Rois Compound prime location overlooking lake & greenery 515M,Villa,515.0,6.0,6.0,37000000.0,"Les Rois Compound, New Cairo, Cairo"
170,Villa Resale Prime Location All kitchen appliances Overlooking Landscape Central AC in all Rooms Swimming pool Hyde Park,Villa,500.0,6.0,6.0,78400000.0,"Hyde Park New Cairo Compound, New Cairo, Cairo"
